query_id,query_text,city,user_lat,user_lon,timestamp,query_type,source,raw_query_id,extra_context
mobilitybench_q_339a6d8022e406d062,张家港市通运新村86幢,苏州市,31.865987,120.528098,,poi_search,mobilitybench,all_data_benchmark_50000.csv:1,"{""context"":{""city"":""苏州市"",""user_current_location"":""120.52809834480286,31.865987469243336""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""POI Search"",""tool_list"":""[{'name': 'query_poi', 'arguments': {'keywords': '张家港市通运新村86幢', 'city': '苏州市'}}]""}"
mobilitybench_q_153232f17cc2e2a9ca,沈阳市哪里有卖养养小公鸡的,沈阳市,41.682352,123.373950,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:2,"{""context"":{""city"":""沈阳市"",""user_current_location"":""123.37395027279855,41.68235153926755""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'search_around_poi', 'arguments': {'location': '123.37395027279855,41.68235153926755', 'keywords': '卖养养小公鸡'}}]""}"
mobilitybench_q_b73a09cec2435c4322,西双版纳车站附近的酒店,昆明市,25.012107,102.777094,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:5,"{""context"":{""city"":""昆明市"",""user_current_location"":""102.77709424495697,25.012106598455794""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'query_poi', 'arguments': {'keywords': '西双版纳车站', 'city': '昆明市'}}, {'name': 'search_around_poi', 'arguments': {'location': '100.773372,21.983691', 'keywords': '酒店'}}]""}"
mobilitybench_q_ef7282fe4d233324e0,大学紫云路校区北北一门,合肥市,31.796781,117.287989,,poi_search,mobilitybench,all_data_benchmark_50000.csv:7,"{""context"":{""city"":""合肥市"",""user_current_location"":""117.28798851370814,31.79678099554925""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""POI Search"",""tool_list"":""[{'name': 'query_poi', 'arguments': {'keywords': '大学紫云路校区北北一门', 'city': '合肥市'}}]""}"
mobilitybench_q_2d4d1a0ac8b88e2420,五路口附近的汽车充电站,西安市,34.270080,108.969827,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:13,"{""context"":{""city"":""西安市"",""user_current_location"":""108.96982669830324,34.27008010900987""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'query_poi', 'arguments': {'keywords': '五路口', 'city': '西安市'}}, {'name': 'search_around_poi', 'arguments': {'location': '108.962977,34.269554', 'keywords': '汽车充电站'}}]""}"
mobilitybench_q_1aefdb0657875de43f,高德地图找找附近的停车场,银川市,38.427008,106.292711,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:17,"{""context"":{""city"":""银川市"",""user_current_location"":""106.29271119832995,38.42700761191786""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'search_around_poi', 'arguments': {'location': '106.29271119832995,38.42700761191786', 'keywords': '停车场'}}]""}"
mobilitybench_q_cebd340b3a7add64f6,汉正街周边有没有免费的停车场,武汉市,30.408052,114.310256,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:35,"{""context"":{""city"":""武汉市"",""user_current_location"":""114.3102563917637,30.408052192630166""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'query_poi', 'arguments': {'keywords': '汉正街', 'city': '武汉市'}}, {'name': 'search_around_poi', 'arguments': {'location': '114.264162,30.565544', 'keywords': '免费的停车场'}}]""}"
mobilitybench_q_83a9828285da345927,华夏大道附近大型停车场,郑州市,34.637003,113.783342,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:44,"{""context"":{""city"":""郑州市"",""user_current_location"":""113.78334179520608,34.63700265904464""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'query_poi', 'arguments': {'keywords': '华夏大道', 'city': '郑州市'}}, {'name': 'search_around_poi', 'arguments': {'location': '113.812241,34.695760', 'keywords': '大型停车场'}}]""}"
mobilitybench_q_86ff1e56a7fe28119d,郴州苏仙区菜市场隔壁有窗帘店吗,郴州市,25.786365,113.031897,,nearby_search,mobilitybench,all_data_benchmark_50000.csv:47,"{""context"":{""city"":""郴州市"",""user_current_location"":""113.0318967998028,25.786364861670148""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""Nearby Search"",""tool_list"":""[{'name': 'search_around_poi', 'arguments': {'location': '113.0318967998028,25.786364861670148', 'keywords': '郴州苏仙区菜市场隔壁有窗帘店'}}]""}"
mobilitybench_q_29e277049326da9ce6,乳源县城河边的美食街在哪里,韶关市,24.772441,113.270298,,poi_search,mobilitybench,all_data_benchmark_50000.csv:51,"{""context"":{""city"":""韶关市"",""user_current_location"":""113.27029824256898,24.77244084453018""},""has_tool_list"":true,""intent_family"":""Basic Information Retrieval"",""task_scenario"":""POI Search"",""tool_list"":""[{'name': 'query_poi', 'arguments': {'keywords': '乳源县城河边的美食街在哪里', 'city': '韶关市'}}]""}"
